ID,Gonad_ID,Location,L,Species,Date,Year,Month,FL,histology Sex,field Sex,Gonad_State,Stage,FW,GW,PHASE,mature
1736,HK001,Hanalei,Hanalei,Manini,1/15/14,2014,1,14,,F,,,73,0.195,,
1746,HK002,Hanalei,Hanalei,Manini,2/18/14,2014,2,17,F,F,SC,VT,131,7.639,VT,1
1744,YY077,Hanalei,Hanalei,Manini,2/18/14,2014,2,17.25,M,M,RE,Mature,130,2.445,,1
1747,YY036,Hanalei,Hanalei,Manini,2/18/14,2014,2,18.75,F,F,SC,VT,193,11.846,VT,1
1749,YY046,Hanalei,Hanalei,Manini,2/18/14,2014,2,19,F,F,SC,VT,202,11.423,VT,1
1748,YY068,Hanalei,Hanalei,Manini,2/18/14,2014,2,20,F,F,SC,VT,250,15.728,VT,1
1745,YY011,Hanalei,Hanalei,Manini,2/18/14,2014,2,20.5,,F,,,243,11.92,,1
1764,AW001,Hanalei,Hanalei,Manini,3/4/14,2014,3,13.75,F,F,S,HY1,67,1.386,VT,1
1572,MO2167,Hanalei,Hanalei,Manini,3/27/14,2014,3,14,M,M,U,IMMATURE,,0.04,,0
1559,MO2207,Hanalei,Hanalei,Manini,3/28/14,2014,3,14.25,,M,,,99.8,2.63,,1
1573,MO2166,Hanalei,Hanalei,Manini,3/27/14,2014,3,15,M,M,U,IMMATURE,,0.01,,0
1558,MO2208,Hanalei,Hanalei,Manini,3/28/14,2014,3,15.125,,M,,,99.8,3.25,,1
1756,YY080_2,Hanalei,Hanalei,Manini,3/3/14,2014,3,15.5,F,F,SC,VT,109,3.218,VT,1
1754,YY074,Hanalei,Hanalei,Manini,3/3/14,2014,3,15.5,F,F,SC,VT,108,0.681,VT,1
1765,YY072,Hanalei,Hanalei,Manini,3/4/14,2014,3,15.75,F,F,S,HY2,111,6.927,H,1
1555,MO2210,Hanalei,Hanalei,Manini,3/28/14,2014,3,15.75,F,F,RE,PN,90.7,0.26,RE,1
1780,,Hanalei,Hanalei,Manini,3/19/14,2014,3,16,,F,,,105,2,,1
1753,YY041,Hanalei,Hanalei,Manini,3/3/14,2014,3,16,F,F,S,VT,107,1.485,H,1
1569,MO2252,Hanalei,Hanalei,Manini,3/27/14,2014,3,16,M,M,U,IMMATURE,,0.16,,0
1766,YY037,Hanalei,Hanalei,Manini,3/4/14,2014,3,16,,M,,,115,7.842,,1
1570,MO2253,Hanalei,Hanalei,Manini,3/27/14,2014,3,16.1,M,,U,IMMATURE,,0.07,,0
1554,MO2206,Hanalei,Hanalei,Manini,3/28/14,2014,3,16.25,,M,,,99.8,4.23,,1
1571,MO2168,Hanalei,Hanalei,Manini,3/27/14,2014,3,16.4,F,F,RE,PN,,0.2,RE,1
1763,AW041,Hanalei,Hanalei,Manini,3/4/14,2014,3,16.5,,F,,,122,3.144,,1
1751,YY053,Hanalei,Hanalei,Manini,3/3/14,2014,3,16.5,,F,,,131,3.408,,1
1776,,Hanalei,Hanalei,Manini,3/19/14,2014,3,16.5,,M,,,126,5,,1
1775,,Hanalei,Hanalei,Manini,3/19/14,2014,3,16.5,,M,,,116,3,,1
1755,YY048,Hanalei,Hanalei,Manini,3/3/14,2014,3,16.5,,M,,,127,6.72,,1
1556,MO2209,Hanalei,Hanalei,Manini,3/28/14,2014,3,16.75,F,F,SC,HY2,108.9,7.6,H,1
1774,,Hanalei,Hanalei,Manini,3/19/14,2014,3,17,,F,,,124,3,,1
1762,AW035,Hanalei,Hanalei,Manini,3/4/14,2014,3,17,F,F,S,HY1,135,3.466,VT,1
1781,,Hanalei,Hanalei,Manini,3/19/14,2014,3,17,,M,,,128,8,,1
1568,MO2254,Hanalei,Hanalei,Manini,3/27/14,2014,3,17.3,F,F,RE,PN,,0.34,RE,1
1773,,Hanalei,Hanalei,Manini,3/19/14,2014,3,17.5,,F,,,147,4,,1
1752,YY060,Hanalei,Hanalei,Manini,3/3/14,2014,3,17.5,F,F,SC,VT,152,4.898,VT,1
1567,MO2222,Hanalei,Hanalei,Manini,3/27/14,2014,3,17.7,F,F,SC,VT,,2.51,VT,1
1779,,Hanalei,Hanalei,Manini,3/19/14,2014,3,18,,F,,,167,3,,1
1778,,Hanalei,Hanalei,Manini,3/19/14,2014,3,18,,F,,,145,5,,1
1772,,Hanalei,Hanalei,Manini,3/19/14,2014,3,18.5,,F,,,182,7,,1
1560,MO2204,Hanalei,Hanalei,Manini,3/28/14,2014,3,18.5,F,F,SC,HY2,127,8.03,H,1
1557,MO2205,Hanalei,Hanalei,Manini,3/28/14,2014,3,18.5,,M,,,104.3,6.75,,1
1777,,Hanalei,Hanalei,Manini,3/19/14,2014,3,20,,F,,,213,5,,1
396,,Hanalei,Hanalei,Manini,4/29/13,2013,4,13,,F,,,51,0.01,,0
394,,Hanalei,Hanalei,Manini,4/29/13,2013,4,13.5,,F,,,68,0.01,,0
390,YY006,Hanalei,Hanalei,Manini,4/29/13,2013,4,14,M,M,SC,Mature,66,2,,1
398,YY014,Hanalei,Hanalei,Manini,4/29/13,2013,4,15,F,F,SC,HY1,75,2,VT,1
382,YY051,Hanalei,Hanalei,Manini,4/9/13,2013,4,15.5,,F,,,100,1,,
