ID,gonad.id,Location,Species,Date,Day,Month,Year,FL,field Sex,histology Sex,State,Stage,Fish_Weight,Gonad_Weight,phase,mature
630,ES142,Maunalua,Kole,5/24/13,24,5,2013,12.2,,F,D,CA,42,0.35,,0
155,MO994,Maunalua,Kole,3/28/13,28,3,2013,14.9,,F,D,CA,113,,D,0
319,ES45,Maunalua,Kole,4/24/13,24,4,2013,12.5,,F,D,CA,53.66,0.29,,0
1966,ES891,Maunalua,Kole,5/11/14,11,5,2014,10.2,,F,RE,PN,32.22,0.1,U,0
1639,ES750,Maunalua,Kole,4/13/14,13,4,2014,9.7,,F,D,CA,31.1,0.07,D,0
945,ES407,Maunalua,Kole,7/6/13,6,7,2013,12,,F,U,CA,56.5,0.21,D,0
747,ES313,Maunalua,Kole,6/7/13,7,6,2013,10.9,,F,D,CA,44.5,0.15,,0
944,ES406,Maunalua,Kole,7/6/13,6,7,2013,12.8,,F,D,CA,67.9,0.13,,0
631,ES143,Maunalua,Kole,5/24/13,24,5,2013,11.2,,F,U,OO,33,0.01,U,0
560,ES127,Maunalua,Kole,5/19/13,19,5,2013,10.4,,F,D,CA,32,0.07,D,0
750,ES316,Maunalua,Kole,6/8/13,8,6,2013,8.9,,F,D,CA,23.92,0.03,,0
702,ES234,Maunalua,Kole,6/2/13,2,6,2013,10.7,,F,U,CN,32,0.01,U,0
1430,ES579,Maunalua,Kole,1/13/14,13,1,2014,9.5,,F,RE,PN,24.8,0.01,,0
1217,ES2001,Maunalua,Kole,11/3/13,3,11,2013,13.8,,M,U,Immature,71.5,0.16,,0
663,KH166,Kaupulehu,Kole,5/11/13,11,5,2013,13,,M,U,IMMATURE,63.38,0.15,,0
473,KH139,Kaupulehu,Kole,5/5/13,5,5,2013,14,,M,U,Immature,80.22,0.17,,0
648,ES204,Kaupulehu,Kole,6/1/13,1,6,2013,14,,M,D,Immature,,,,0
410,KH253,Kaupulehu,Kole,4/29/13,29,4,2013,14.7,,M,U,Immature,88.48,0.01,,0
409,KH060,Kaupulehu,Kole,4/29/13,29,4,2013,15.6,,M,U,Immature,96.46,0.45,,0
846,KH531,West Hawaii,Kole,5/28/13,28,5,2013,14,,M,U,Immature,85.1,,,0
611,KH845,West Hawaii,Kole,5/26/13,26,5,2013,14.3,,M,U,Immature,56,0.01,,0
610,KH844,West Hawaii,Kole,5/26/13,26,5,2013,16.2,,M,U,Immature,85,0.01,,0
361,KH451,Kaupulehu,Kole,4/24/13,24,4,2013,15.9,,M,U,Immature,99.41,0.1,,0
201,KH433,Kawaihae,Kole,4/6/13,6,4,2013,15,,M,U,Immature,,,,0
311,ES38,Maunalua,Kole,4/19/13,19,4,2013,13.5,,M,U,Immature,70.7,0.06,,0
317,ES44,Maunalua,Kole,4/19/13,19,4,2013,10.3,,M,U,Immature,30.79,,,0
309,ES36,Maunalua,Kole,4/19/13,19,4,2013,14,,M,U,Immature,87.5,0.03,,0
631,ES143,Maunalua,Kole,5/24/13,24,5,2013,11.2,,M,U,Immature,33,0.01,,0
2052,ES1013,Maunalua,Kole,6/1/14,1,6,2014,9,,M,U,IMMATURE,26.55,0.01,,0
