ID,Gonad_Sample,Monitoring_Location,L,Species,mDate,Month,FL,histology Sex,Gonad_State,Stage,Field sex,Fish_Weight,GW,rGSI,mature,PHASE-old,PHASE,Monitoring_Time,Monitoring_Metadata.Comments
840,AB08,West Hawaii,West Hawaii,Roi,6/2/13,6,37.5,F,RE,Atresia,F,878.8,,,1,RG,I,,Data sheet from Chad Wiggins. FISH WIEGHT TO THE NEAREST OUNCE
841,AB09,West Hawaii,West Hawaii,Roi,6/2/13,6,25.6,F,SC,VT,F,226.8,,,1,SC,SC,,Data sheet from Chad Wiggins. FISH WIEGHT TO THE NEAREST OUNCE
2134,ES1000,West Maui,,Roi,6/1/14,6,22.9,F,RE,VT,F,174,0.28,0.161178909,1,RG,I,7:00 AM,FROM ROI ROUNDUP AT ALL ABOUT FISH: 7-12
2135,ES1001,West Maui,,Roi,6/1/14,6,16.9,F,U,PN,F,84,0.02,0.023815194,0,U,U,7:00 AM,FROM ROI ROUNDUP AT ALL ABOUT FISH: 7-12
2140,ES1002,West Maui,,Roi,6/1/14,6,20.6,F,U,PN,F,135,0.24,0.17809439,0,U,U,7:00 AM,FROM ROI ROUNDUP AT ALL ABOUT FISH: 7-12
2263,ES1061,Oahu,,Roi,8/30/14,8,26.5,F,SC,VT,F,295,20.3,7.389879869,1,SC,SC,,Hawaii Spearfishing Open
2268,ES1062,Oahu,,Roi,8/30/14,8,30.5,F,SC,VT,F,475,14.5,3.148751357,1,SC,SC,,Hawaii Spearfishing Open
2298,ES1085,Maunalua,,Roi,9/22/14,9,30.5,F,VT,S,F,505,6.83,1.371017926,1,RG,I,,Jason Chow
2357,ES1110,West Hawaii,West Hawaii,Roi,10/14/14,10,15,F,,IMMATURE,U,49.75,0.01,0.020104544,0,U,U,12:00 PM,
653,ES209,Kaupulehu,West Hawaii,Roi,6/1/13,6,43.5,F,S,HY1,F,,,,1,SC,SC,9:00 AM,Samples from two volunteer fisherman. They fished from 9-11 and caught ~18 more kole and 1 alaihi that was not processed.
2123,ES990,West Maui,,Roi,6/1/14,6,32,F,S,HY1,F,597,24,4.188481675,1,SC,SC,7:00 AM,FROM ROI ROUNDUP AT ALL ABOUT FISH: 7-12
2125,ES992,West Maui,,Roi,6/1/14,6,30.3,F,SC,VT,F,466,11.96,2.634129152,1,SC,SC,7:00 AM,FROM ROI ROUNDUP AT ALL ABOUT FISH: 7-12
2126,ES993,West Maui,,Roi,6/1/14,6,20.4,F,U,PN,F,126,0.05,0.039698293,0,U,U,7:00 AM,FROM ROI ROUNDUP AT ALL ABOUT FISH: 7-12
2127,ES994,West Maui,,Roi,6/1/14,6,45.6,M,SC,MATURE,M,1780,8.52,0.480953779,1,M,M,7:00 AM,FROM ROI ROUNDUP AT ALL ABOUT FISH: 7-12
2128,ES995,West Maui,,Roi,6/1/14,6,46.5,M,SC,MATURE,F,1807,9.23,0.51341384,1,M,M,7:00 AM,FROM ROI ROUNDUP AT ALL ABOUT FISH: 7-12
2130,ES997,West Maui,,Roi,6/1/14,6,18.6,F,PN,,F,99,0.09,0.090991811,0,U,U,7:00 AM,FROM ROI ROUNDUP AT ALL ABOUT FISH: 7-12
2131,ES998,West Maui,,Roi,6/1/14,6,21,F,RE,ATRESIA,F,134,0.3,0.224382947,0,RG,I,7:00 AM,FROM ROI ROUNDUP AT ALL ABOUT FISH: 7-12
2132,ES999,West Maui,,Roi,6/1/14,6,20.5,F,U,CA,F,134,0.18,0.134509042,0,D,D,7:00 AM,FROM ROI ROUNDUP AT ALL ABOUT FISH: 7-12
214,KH405,Kawaihae,West Hawaii,Roi,4/6/13,4,46,M,RE,,M,1600,14,0.882723834,1,M,M,8:00 AM,
2246,KH751,West Hawaii,West Hawaii,Roi,8/17/13,8,29.5,F,SC,VT,M,320,29.9,10.30679076,1,SC,SC,,
2247,KH752,West Hawaii,West Hawaii,Roi,8/17/13,8,31.2,F,SC,HY1,F,410,14.6,3.692463328,1,AS,AS,,
2248,KH753,West Hawaii,West Hawaii,Roi,8/17/13,8,31.3,F,SC,VT,M,430,12.2,2.920057444,1,SC,SC,,
2249,KH754,West Hawaii,West Hawaii,Roi,8/17/13,8,39.5,F,SC,VT,F,1000,44.8,4.690117253,1,AS,AS,,
2250,KH755,West Hawaii,West Hawaii,Roi,8/17/13,8,32.3,F,SC,VT,F,550,35.8,6.96227149,1,AS,AS,,
2251,KH756,West Hawaii,West Hawaii,Roi,8/17/13,8,26.5,F,SC,VT,F,360,19.2,5.633802817,1,SC,SC,,
2253,KH758,West Hawaii,West Hawaii,Roi,8/17/13,8,33,M,SC,,,470,2.5,0.534759358,1,M,M,,
2254,KH759,West Hawaii,West Hawaii,Roi,8/17/13,8,37.4,TL,,,,840,3.1,0.370414625,1,TL,TL,,
614,KH840,West Hawaii,West Hawaii,Roi,5/26/13,5,27.2,F,SC,HY2,F,340,15.01,4.618603649,1,AS,AS,,
616,KH841,West Hawaii,West Hawaii,Roi,5/26/13,5,33.1,F,SC,HY2,F,652,16.03,2.520559146,1,AS,AS,,
613,KH842,West Hawaii,West Hawaii,Roi,5/26/13,5,24,F,SC,HY2,F,226,4.82,2.179220544,1,AS,AS,,
615,KH843,West Hawaii,West Hawaii,Roi,5/26/13,5,27.1,F,SC,HY2,F,312,7.63,2.50681736,1,AS,AS,,
2243,KH854,West Hawaii,West Hawaii,Roi,8/17/13,8,31.6,F,SC,VT,M,530,27.9,5.55666202,1,SC,SC,,
1507,KH911,West Maui,,Roi,2/27/14,2,29,F,RE,PN,F,440,1.39,0.316910239,1,RG,I,1:00 PM,1-3pm with me
2442,MO1340,West Hawaii,West Hawaii,Roi,10/6/14,10,29.6,F,SC,VT,F,430,51.9,13.72652737,1,SC,SC,,FISH DOWN
2441,MO1341,West Hawaii,West Hawaii,Roi,10/6/14,10,24.2,F,SC,VT,F,240,17.2,7.719928187,1,SC,SC,,FISH DOWN
2437,MO1343,West Hawaii,West Hawaii,Roi,10/3/14,10,44.5,M,SC,MATURE,M,1420,5.8,0.410125866,1,M,M,,FROM FISH DOWN
2444,MO1347,West Hawaii,West Hawaii,Roi,10/6/14,10,35,F,SC,HY1,F,860,14.5,1.714961561,1,AS,AS,,FISH DOWN
2264,MO1736,Oahu,,Roi,8/30/14,8,38,F,SC,VT,F,1070,60.95,6.040334969,1,SC,SC,,Hawaii Spearfishing Open
2432,MO2183,West Hawaii,West Hawaii,Roi,10/7/14,10,31.4,TL,T,TRANSITIONAL WITH SPERM,F,550,5,0.917431193,1,TL,TL,,FROM FISH DOWN EXPERIMENT
2434,MO2188,West Hawaii,West Hawaii,Roi,10/7/14,10,31.5,F,SC,HY2,F,550,20.6,3.891197582,1,AS,AS,,FROM FISH DOWN EXPERIMENT
1201,MO317,Maunalua,,Roi,9/28/13,9,27.5,F,SC,VT,F,,2.99,,1,RG,I,1:00 PM,"Pat, Alex, Tory 1-4 pm"
855,PU01,West Hawaii,West Hawaii,Roi,6/29/13,6,27.3,F,S,Atresia,,,1.8,,1,RG,I,12:00 PM,ROI ROUND UP
857,PU03,West Hawaii,West Hawaii,Roi,6/29/13,6,50,M,SC,Mature,,2182.9,6.7,0.307876114,1,M,M,12:00 PM,ROI ROUND UP
858,PU04,West Hawaii,West Hawaii,Roi,6/29/13,6,37,F,RE,CA,,510.29,3.1,0.611210789,1,RG,I,12:00 PM,ROI ROUND UP
